"","Year","CountryCode","Access to electricity (% of population)","Access to electricity, urban (% of urban population)","Population ages 15-64, total","Population ages 15-64, male","Population ages 15-64, female","Population, total","Population ages 15-64 (% of total population)","Urban population","Urban land area (sq. km)","CO2 emissions from transport (% of total fuel combustion)","Railways, passengers carried (million passenger-km)","Rail lines (total route-km)","Adjusted net national income per capita (constant 2010 US$)","GDP per capita (constant 2010 US$)","Public private partnerships investment in ICT (current US$)","Investment in ICT with private participation (current US$)","Mobile cellular subscriptions (per 100 people)","Individuals using the Internet (% of population)","Fixed broadband subscriptions (per 100 people)","Researchers in R&D (per million people)","Research and development expenditure (% of GDP)","CO2 emissions (metric tons per capita)","Urban population (% of total population)","Wage and salaried workers, total (% of total employment) (modeled ILO estimate)","Gross enrolment ratio, lower secondary, both sexes (%)","joinID","Registrations or Sales of New Vehicles","Vehicles in Use","Number of registered passenger cars (in thousand)","Number of taxis or taxicabs (in thousand)","Total number of registered motorcycles (in thousand)","Number of public buses (in thousand)","Number of traffic accident casualties (injuries) by road","Total number of registered buses (in thousand)","Total number of registered road motor vehicles (in thousand)","the total length of the road network and includes the length of the paved and unpaved portions (km)","Number of Charging Station","Number of Car Sharing","Number of Public Transport Node","Google Trends for Grab","Google Trends for Google Maps","Road accidents deaths (nbr)","Road accidents injury (nbr)","Road accidents deaths (per 1MM habitants)","Accidents involving casualities (nbr)","Road accidents deaths (per 1MM vehicles)","Infrastructure investment rail (eur)","Infrastructure investment road (eur)","Infrastructure investment inland total (percentage GDp)","Infrastructure investment sea (eur)","Infrastructure investment air (eur)","Infrastructure investment inland waterways (eur)","Infrastructure maintenance rail (eur)","Infrastructure maintenance road (eur)","Infrastructure maintenance air (eur)","Infrastructure maintenance sea (eur)","Infrastructure maintenance inland waterways (eur)","Passenger transport by rail (MM pkm)","Passenger transport by road (MM pkm)","Passenger transport by inland (MM pkm)","Country"
"314",2014,"FIN",100,100,3490743,1766264,1724476,5461512,63.9153141926143,4651843,NA,23.8674033149171,3874,5944,37152.6772627938,45550.6323444393,NA,NA,139.205784,86.53039275,32.19863878,7009.28753,3.16931,8.64796415351646,85.175,86,101.85453,"FIN2014",120113,2691.043,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,229,6705,41.929780617529,5324,52.838024919243,6.43e+08,1.238e+09,0.91011469475149,4.4e+07,8.6e+07,2e+06,1.94e+08,5.06e+08,2.33e+08,1.01e+08,1.7e+07,3874,73060,76934,"Finland"
"315",2015,"FIN",100,100,3471884,1757800,1714087,5479531,63.3609687943454,4669930,NA,NA,4113,5923,37789.1501782459,45647.6685921765,NA,NA,134.9395252,86.42213333,31.56100156,6844.54752,2.89157,7.77564229493364,85.225,85.7799987792969,101.83939,"FIN2015",123483,2708.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,270,6408,49.274290080666,5185,60.961842402348,5.67e+08,1.243e+09,0.85720368048821,5.5e+07,78866994,2e+06,2.06e+08,508900000,232015669,7.6e+07,16297800,4113,73835,77948,"Finland"
"316",2016,"FIN",100,100,3455182,1749986,1705195,5495303,62.8751810070842,4686120,NA,NA,3868,5926,38616.497631342,46796.3373472768,NA,NA,131.3291545,87.70364996,31.1402214,6531.47954,2.74264,8.34721998040872,85.275,85.9700012207031,101.52627,"FIN2016",136430,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,258,5911,46.949185513519,4752,56.703296703297,5.37e+08,1.178e+09,0.78935996101472,1.14e+08,1.83e+08,2e+06,2.16e+08,5.44e+08,2.4e+08,9.1e+07,1.8e+07,3868,65262,69130,"Finland"
"317",2017,"FIN",100,100,3440986,1743532,1697451,5508214,62.4700823080137,4699884,NA,NA,4271,5926,39518.2355804127,48213.3827348358,NA,NA,129.9132285,87.46892907,31.02676267,6721.83019,2.7569,NA,85.325,86.8199996948242,102.05278,"FIN2017",136534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,238,5574,43.208197793332,4432,51.062003861832,5.21e+08,1.235e+09,0.77941555530342,99500000,175500000,4200000,2.33e+08,548500000,2.19e+08,9.4e+07,1.6e+07,4271,74800,79071,"Finland"
"318",2018,"FIN",100,100,3427018,1737291,1689720,5515525,62.134029481894,4709266,NA,NA,4534,5926,40378.4717669358,48880.18533577,NA,NA,129.4685668,88.88996,31.45271337,6861.10974,2.77381,NA,85.382,86.7900009155273,103.52976,"FIN2018",163000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,239,5303,43.332230386047,4312,50.146873688628,4.91e+08,1.526e+09,0.86683789423902,58300000,245400000,8100000,2.21e+08,5.43e+08,209100000,122700000,17700000,4534,74800,79334,"Finland"
"319",2019,"FIN",NA,NA,3413929,1731632,1682288,5520314,61.8430138267974,4717991,NA,NA,NA,5923,NA,49397.2348587123,NA,NA,129.2443669,89.60738511,32.48281502,NA,NA,NA,85.446,86.5400009155273,NA,"FIN2019",155147,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,211,4994,38.222463432334,3984,43.255432554326,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4924,74700,79624,"Finland"
"320",2020,"FIN",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FIN2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Finland"
"321",2001,"FRA",100,99.9254608154297,39876233,19809721,20066356,61357430,64.9900633388057,46709571,NA,36.4648989350141,84180,29503,33540.9849286362,38786.0858067658,NA,NA,62.30182837,26.32590355,1.012896846,2986.85851,2.13804,6.1530605991809,76.127,89.0999984741211,101.90404,"FRA2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8160,153505,132.99122860915,116745,222.47668902339,2443638000,10920413959.837,0.87875273091919,295530000,820940000,152922547.16219,2.642e+09,2.21e+08,NA,5.3e+07,4e+07,84180,770918,855098,"France"
"322",2002,"FRA",100,99.8642807006836,40159945,19934536,20225136,61805267,64.9781924755801,47206863,NA,37.014348785872,86186,29410,33429.7760103031,38942.2812174929,NA,NA,64.52020043,30.18,2.767399287,3117.21193,2.17449,6.06866447158945,76.38,89.2300033569336,101.43181,"FRA2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7655,137426,123.85675803326,105470,204.8434573187,3044642000,10345177749.354,0.85298892575699,320340000,950659900,154185780.6039,2.914e+09,2.33e+08,NA,5.1e+07,4.1e+07,86186,777226,863412,"France"
"323",2003,"FRA",100,99.811767578125,40452228,20065101,20386813,62244886,64.9888381365152,47699501,NA,36.0831182941736,84151,29327,33492.6167330486,38985.5358535883,NA,NA,69.21311352,36.14,5.924127676,3199.74823,2.11994,6.11599810786062,76.632,88.5100021362305,101.14215,"FRA2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6058,115602,97.325264600854,90220,159.93874910896,3633564000,10990928003.536,0.90770771019369,483460000,836646600,177189005.97097,3.411e+09,2.39e+08,NA,5.1e+07,4.8e+07,84151,779163,863314,"France"
"324",2004,"FRA",100,99.7770462036133,40764786,20208325,20556235,62704895,65.010533052162,48209404,NA,36.0699281745494,88567,29304,34109.8759736717,39794.635505659,NA,NA,73.386296,39.15,10.80931341,3334.16691,2.09461,6.12007856802886,76.883,88.9599990844727,101.04531,"FRA2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5593,108366,89.195588318902,85390,145.9018104033,3680498000,11526363521.814,0.90102509152932,377470000,837600000,146777232.61299,3.592e+09,2.39e+08,NA,5e+07,4.3e+07,88567,777323,865890,"France"
"325",2005,"FRA",100,99.7654571533203,41088277,20360541,20727734,63179351,65.0343445785052,48730233,NA,35.3193672047946,90859,28470,34321.3040543132,40152.6928604816,NA,NA,78.67784699,42.87,15.49571388,3313.25866,2.05151,6.09959885469542,77.13,89.120002746582,106.06102,"FRA2005",2598183,36298,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5318,108076,84.173071040252,84525,137.47285699514,4171382500,12402058253.343,0.94672807581699,282570000,860200000,144877673.91258,3.568e+09,2.189e+09,NA,5e+07,5.5e+07,90859,767290,858149,"France"
"326",2006,"FRA",100,99.7746963500977,41357728,20483193,20874300,63621381,65.006020427019,49228316,NA,36.3422270246308,94590,29620,34774.5381120464,40850.355529943,NA,NA,83.99106172,46.87,20.66529336,3423.74845,2.05094,5.90626638550961,77.377,88.6399993896484,105.91428,"FRA2006",2544165,36661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4709,102125,74.015997860845,80309,120.67551637538,4303020000,12915322776.549,0.94344372677644,261280000,9.78e+08,217921894.30739,3.225e+09,2.235e+09,NA,5e+07,6.1e+07,94590,765879,860469,"France"
"327",2007,"FRA",100,99.8005142211914,41605999,20597340,21008353,64016225,64.9928970342558,49690034,NA,36.9523323697784,96709,29976,35469.0061643185,41582.7997049377,NA,NA,89.47598456,66.09,25.45692061,3585.80596,2.02451,5.76638534996401,77.621,89.0199966430664,105.16876,"FRA2007",2629186,37033,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4620,103201,72.169203979147,81272,117.10729766039,4616418000,13883209568.4,0.96453790531869,3.02e+08,1052433365.3101,225525510.29515,3.377e+09,2.294e+09,NA,4.4e+07,5.8e+07,96709,771178,867887,"France"
"328",2008,"FRA",100,99.8386764526367,41819125,20696344,21122519,64374984,64.9617636180445,50127513,NA,35.6304061408031,102721,29959,35127.0340919693,41456.4834200511,NA,NA,93.18877831,70.68,28.66135233,3659.88478,2.06117,5.69050185705677,77.868,89.4400024414063,104.54237,"FRA2008",2614829,37212,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4275,93798,66.407783495527,74487,107.49849124925,4696513301.88,14036319131.071,0.94972477223717,2.87e+08,795291259.75644,189293984.14823,3.672e+09,2.286e+09,NA,4.8e+07,6e+07,102721,756610,859331,"France"
"329",2009,"FRA",100,99.8849487304688,41971520,20768230,21203144,64707040,64.8639158081892,50547198,NA,36.8795177109265,101821,33698,33953.6122112254,40058.6797604341,NA,NA,92.60523577,71.58,31.74141269,3747.28462,2.21207,5.43835706284818,78.117,89.0500030517578,103.60621,"FRA2009",2718599,37438,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4273,90934,66.036091281567,72315,106.96137575409,4968770094.2,14277760989.6,1.0065814316828,2.74e+08,693352000,245133207.22042,3.73e+09,2.601e+09,NA,4.8e+07,6.1e+07,101821,757177,858998,"France"
"330",2010,"FRA",100,99.9330368041992,42053370,20808924,21244448,65027507,64.6701255559639,50961407,86463.0625,36.2473535638673,102167,29929,34362.5514283595,40638.33400426,NA,NA,91.89795153,77.28,33.93314168,3873.01285,2.17857,5.42898086189895,78.369,88.5100021362305,102.91329,"FRA2010",2708884,37744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3992,84461,61.389405563403,67288,99.350439262338,5103166000,14497093953,0.99501896482164,2.13e+08,758635000,253244000,3.77e+09,2.431e+09,NA,5.3e+07,6e+07,102167,763941,866108,"France"
"331",2011,"FRA",100,99.9709091186523,42065649,20804867,21260651,65342780,64.3768891595673,51373800,NA,39.5522628442583,105596,30071,34791.1073916657,41329.0353613461,NA,NA,94.61229513,77.81999899,35.98259834,3942.38881,2.19161,5.07791110203759,78.622,88.370002746582,102.83835,"FRA2011",2687052,38067,NA,NA,NA,NA,NA,NA,NA,1053215,NA,NA,NA,NA,NA,3963,81251,60.649393858051,65024,97.955854363893,7060006000,12604291274,0.96817360123476,2.15e+08,948952000,264288000,3.804e+09,2.746e+09,NA,5.3e+07,6.1e+07,105596,764529,870125,"France"
"332",2012,"FRA",100,99.9921569824219,42019757,20775718,21243890,65659809,63.9961606703243,51791144,NA,39.0984921398781,105956,29406,34429.1293242428,41258.2747305664,NA,NA,97.94818377,81.44,37.72562555,4073.25058,2.22707,5.07506234140888,78.878,88.5599975585938,102.22201,"FRA2012",2331731,38138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3653,75851,55.6352516956,60437,86.410408042578,7991727000,13173701531.474,1.0245774869961,2.28e+08,6.16e+08,235987000,3.983e+09,2.851e+09,NA,5.3e+07,6.1e+07,105956,836286,942242,"France"
"333",2013,"FRA",100,99.9990539550781,41950713,20739394,21211236,65998687,63.5629510189021,52228061,NA,38.1704663702583,105214,29979,34600.1095492415,41282.9908003749,NA,NA,99.10863425,81.9198,39.03368925,4154.81555,2.23703,5.06217196411801,79.135,88.7300033569336,101.51366,"FRA2013",2207373,38200,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3268,70607,49.516136586172,56812,77.181049548911,10364564000,12866158552,1.1078409415503,3.23e+08,4.31e+08,224364000,3.884e+09,2.904e+09,NA,5.3e+07,6.1e+07,105215,832651,937866,"France"
"334",2014,"FRA",100,100,41868703,20699421,21169272,66312067,63.1388901221384,52647802,NA,42.4145897507701,104589,NA,34872.0811105828,41480.7696075124,NA,NA,101.9183391,83.75,40.45422009,4233.6383,2.27592,4.57345972943356,79.394,88.3899993896484,100.47039,"FRA2014",2210927,38408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3384,73048,51.031435952675,58191,79.668518692909,8921881000,10807203024,0.92610373803648,340070000,3.9e+08,179970000,3.115e+09,2.76e+09,NA,5.3e+07,6e+07,104589,838532,943121,"France"
"335",2015,"FRA",100,100,41770003,20652157,21117850,66548272,62.7664724171957,53009026,NA,NA,104849,28866,35567.1538207356,41793.5447118859,NA,NA,103.4564614,78.00603771,41.68450907,4307.48974,2.26703,NA,79.655,88.4700012207031,100.80234,"FRA2015",2345092,38652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3461,70802,52.007360912392,56603,81.051965996113,8576194000,10011226322,0.85295175479615,307520739,5.12e+08,164144000,3245830000,2598230000,NA,53477000,59760000,104849,845241,950090,"France"
"336",2016,"FRA",100,100,41682778,20599784,21082936,66724104,62.4703444983481,53323902,NA,NA,104208,29236.65,35918.2347093972,42140.0368796576,NA,NA,104.4897355,79.26981132,42.80350858,4414.69944,2.22238,NA,79.917,88.2300033569336,101.01219,"FRA2016",2478472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3477,72645,52.110104018782,57522,80.811799498883,8614650000,9.169e+09,0.8046043894511,3.1e+08,7.74e+08,192250000,3329599391.1122,2430850000,NA,50662421.052632,59592134.831461,104207,855013,959220,"France"
"337",2017,"FRA",100,100,41603803,20551398,21052287,66864379,62.2211765433074,53611859,NA,NA,110469,29248.142,36547.8795577594,43015.2106423116,NA,NA,106.4394347,80.50245972,43.92180444,4561.11283,2.20557,NA,80.18,88.3899993896484,101.14461,"FRA2017",2549402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3448,73384,51.567068318992,58613,79.354120062231,9334770000,9.084e+09,0.80330370069849,2.73e+08,8.01e+08,35060000,3502751907.6627,2369230000,NA,49522516.578947,62219224.719101,110469,861602,972071,"France"
"338",2018,"FRA",100,100,41524833,20503675,21020980,66965912,62.0089108085333,53870058,NA,NA,107920,28241,36748.4187922333,43720.0263429305,NA,NA,108.357357,82.04318678,44.77576734,4715.31913,2.20002,NA,80.444,88.3499984741211,101.37794,"FRA2018",2692748,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3248,69887,48.502288746549,55766,74.405632891267,9901590000,9630130000,0.83696144385088,2.73e+08,9.36e+08,226320000,3496362367.9299,2370650000,NA,46599924.015647,59015612.993921,107920,861944,969864,"France"
"339",2019,"FRA",NA,NA,41447350,20459640,20987558,67059887,61.8064718464662,54120109,NA,NA,NA,NA,NA,44317.3923051173,NA,NA,110.6100121,83.33974409,45.69341975,NA,NA,NA,80.709,87.870002746582,NA,"FRA2019",2755696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3244,70490,48.37467143361,56016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,112614,859367,971981,"France"
"340",2020,"FRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FRA2020",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"France"
"341",2001,"GBR",100,99.9254608154297,38561155,19158633,19402353,59119673,65.225588847683,46557334,NA,22.7564701049408,47471.882913,16992,31393.2572368894,36592.8090764118,NA,NA,78.28085811,33.48109487,0.559769954,3080.69401,1.61903,9.23317498728384,78.751,87.8000030517578,99.80819,"GBR2001",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3598,322853,60.859605904789,236461,117.90922497133,5875542691.7511,5930213860.7493,0.64432955763116,374658305.19376,1104679208.876,NA,NA,5150345714.7451,NA,NA,NA,47471.882913,697936.19970162,745408.08261462,"United Kingdom"
"342",2002,"GBR",100,99.8642807006836,38836637,19302834,19533603,59370479,65.4140540111944,46930583,NA,23.6862352850658,47992.683913,17010,32424.6836622624,37285.177887811,NA,NA,82.97838392,56.48,2.286475201,3340.22179,1.6254,8.90412310805173,79.047,87.6900024414063,100.01138,"GBR2002",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3581,310938,60.316171611147,228535,114.21918856851,6749363867.6845,6246819338.4224,0.68637604033593,375318066.15776,1358142493.6387,NA,NA,5163804071.2468,NA,NA,NA,47992.683913,719619.46918281,767612.1530958,"United Kingdom"
"343",2003,"GBR",100,99.811767578125,39140248,19465525,19674585,59647577,65.6191745020503,47323791,NA,23.4002179386014,49224.35476,16907,33483.5836478094,38331.6057009395,NA,NA,91.09287534,64.82,5.227715697,3638.09033,1.5895,9.05327783893049,79.339,87.1800003051758,100.42341,"GBR2003",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3658,297274,61.32688340383,219663,114.18404295168,7493857493.8575,5195837548.7787,0.69822517205127,448041624.51221,2085561497.3262,NA,NA,4833068362.4801,NA,NA,NA,49224.35476,714356.3389006,763580.6936606,"United Kingdom"
"344",2004,"GBR",100,99.7770462036133,39482257,19649857,19832350,59987905,65.8170286574262,47767769,NA,23.6454774152367,50373.778283639,16530,34123.1820321899,39018.951052996,NA,NA,99.69128194,65.61,10.22820347,3824.26193,1.5423,8.98914012749737,79.629,86.9100036621094,99.69623,"GBR2004",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3368,286979,56.144651159263,213043,101.69696237696,5450928381.9629,4949896846.4486,0.53464512532118,297671676.98202,2203065134.0996,NA,NA,5450928381.9629,NA,NA,NA,50373.778283639,713486.0591129,763859.83739654,"United Kingdom"
"345",2005,"GBR",100,99.7654571533203,39856736,19851158,20005582,60401206,65.9866563061669,48269624,NA,23.9423891556058,51363.238861198,NA,35063.940685864,39984.1674413783,NA,NA,108.5982533,70,16.4189566,4123.53188,1.5612,8.98293853602857,79.915,87.0100021362305,101.33559,"GBR2005",2828127,34393.823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3336,275840,55.230685294595,203682,98.733278086895,5756689574.4992,5630940195.9351,0.55777017977847,336306477.5552,2601257493.7856,NA,NA,5661646439.5379,NA,NA,NA,51363.238861198,709177.57015752,760540.80901872,"United Kingdom"
"346",2006,"GBR",100,99.7746963500977,40196873,20020442,20176411,60846820,66.0624057773391,48798541,NA,24.1883086398888,54338.616342653,NA,35175.6725182633,40798.0653066111,NA,NA,115.2192759,68.82,21.39544538,4176.31268,1.58285,8.89871022018899,80.199,86.7699966430664,99.41012,"GBR2006",2734360,34935.023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3298,264288,54.201682191444,204363,96.070377814676,7939278380.7568,6340569081.8422,0.66010225618558,NA,NA,NA,NA,5856556174.8313,NA,NA,NA,54338.616342653,712903.50235211,767242.11869477,"United Kingdom"
"347",2007,"GBR",100,99.8005142211914,40539197,20187875,20351283,61322463,66.1082335117756,49351705,NA,24.8412774527669,57876.835498737,16263,35425.2184209706,41465.5454972921,NA,NA,120.1464736,75.09,25.39412393,4111.14041,1.62165,8.61716368111307,80.479,86.6100006103516,97.3345,"GBR2007",2799619,35353.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3059,254157,49.883841097511,188105,88.259903632534,7729667740.9665,6199078293.8942,0.61527231438119,NA,NA,NA,3565481532.6183,5636560555.3668,NA,NA,NA,57876.835498737,713789.54196507,771666.37746381,"United Kingdom"
"348",2008,"GBR",100,99.8386764526367,40859642,20342907,20516679,61806995,66.1084429556848,49913475,NA,24.1525924176214,60522.257647799,16273,34168.4997107941,41024.8110752438,NA,NA,120.5902647,78.39,27.85420546,4053.92721,1.62307,8.44002773472485,80.757,86.6600036621094,102.36324,"GBR2008",2485258,35537.682,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2645,237811,42.794508938673,176814,75.772767639728,7538440677.9661,6036456999.3723,0.68005504641396,NA,NA,NA,1152278694.2875,5008114438.167,NA,NA,NA,60522.257647799,709810.86816986,770333.12581766,"United Kingdom"
"349",2009,"GBR",100,99.8849487304688,41134819,20475546,20659233,62276270,66.0521552790531,50463084,NA,25.7511103370199,60166.955404915,16239,32545.5126585457,38986.1445197234,NA,NA,121.7296478,83.56,28.45395003,4076.55189,1.6825,7.56932268101478,81.031,86.4000015258789,107.28965,"GBR2009",2222542,35217.31,NA,NA,NA,NA,NA,NA,NA,394428,NA,NA,NA,NA,NA,2337,229576,37.526332261068,169805,66.766825475718,6307135218.2802,6566620650.954,0.74119867685438,NA,NA,NA,2182293685.103,4336387814.3446,NA,NA,NA,60166.955404915,706186.33837958,766353.29378449,"United Kingdom"
"350",2010,"GBR",100,99.9330368041992,41384859,20596989,20787873,62766365,65.934770871037,51030310,58698.75,24.5569514062205,63505.009755806,15888,33417.4816415523,39435.8399018505,NA,NA,120.9109032,85,30.17895673,4043.26715,1.66063,7.8493651496307,81.302,86.0100021362305,110.1603,"GBR2010",2293576,35478.652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1905,215700,30.350650384167,160080,54.165254010304,6387090421.8131,6482927056.6302,0.68948516380584,NA,NA,NA,2084267070.6129,3917271032.3934,NA,NA,NA,63505.009755806,690422.31784542,753927.32760122,"United Kingdom"
"351",2011,"GBR",100,99.9709091186523,41523732,20670212,20853414,63258810,65.6410267864667,51600211,NA,26.368363437329,66801.444358355,16209.59,33605.0323919765,39731.4892976711,NA,NA,120.5248128,85.37999855,32.15914381,3926.11787,1.66488,7.07316508167005,81.57,85.8199996948242,107.24508,"GBR2011",2249483,35632.357,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1960,210750,30.983826600595,157068,55.553045590854,7532693016.8242,5564989628.9468,0.68479808216009,NA,NA,NA,1840178612.5835,3444324729.2003,NA,NA,NA,66801.444358355,686926.39782221,753727.84218057,"United Kingdom"
"352",2012,"GBR",100,99.9921569824219,41622578,20725564,20896893,63700215,65.3413454242577,52130345,NA,24.9112784558123,69686.077677926,15846.5,33373.024782903,40039.7002492073,NA,NA,121.3932216,87.47999842,33.60800177,3969.85915,1.59382,7.35101493770468,81.837,85.370002746582,102.4793,"GBR2012",2333763,35761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1802,202931,28.288758523029,151346,50.643136924709,8765858710.3933,5557509554.9254,0.67847582316633,NA,NA,NA,1951583035.384,3450578227.099,NA,NA,NA,69686.077677926,689558.26445574,759244.34213367,"United Kingdom"
"353",2013,"GBR",100,99.9990539550781,41706559,20775108,20931370,64128273,65.0361493498294,52650595,NA,25.4858362609508,71091.617132869,15861,33751.7502890849,40623.3596882599,NA,NA,121.0666567,89.8441,35.45456823,4119.45134,1.63938,7.10981429361118,82.102,85.4100036621094,109.82377,"GBR2013",2595713,36467.718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1770,190923,27.600930403973,144426,49.028451376532,8426350682.9958,6029949364.1074,0.68886302689678,NA,NA,NA,2046855864.3429,3145366227.0372,NA,NA,NA,71091.617132869,682226.87529255,753318.49242542,"United Kingdom"
"354",2014,"GBR",100,100,41823572,20841966,20981572,64602298,64.7400678234996,53209683,NA,28.452334248725,74261.865978851,16532.1,34720.6526398566,41376.7542572987,NA,NA,119.9282021,91.61,36.27131583,4227.62028,1.65915,6.49734093050374,82.365,84.7699966430664,110.47303,"GBR2014",2843025,37113.358,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1854,202011,28.698669511725,152407,50.496924876182,10306706349.206,7845556795.6349,0.78615832529523,NA,NA,NA,1069646577.381,2881340525.7937,NA,NA,NA,74261.865978851,693953.35242932,768215.21840818,"United Kingdom"
"355",2015,"GBR",100,100,41980393,20929031,21051360,65116219,64.4699481838379,53802927,NA,NA,76787.835241515,16245.1,35387.4044134046,42017.1410820629,NA,NA,120.3319425,92.00029987,37.44769864,4319.50151,1.66818,6.22023961495676,82.626,85.0100021362305,110.63408,"GBR2015",3061406,38219.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1804,194122,27.704311271513,146203,48.016412456937,14665859504.132,9067911845.73,0.89888642889338,NA,NA,NA,5471089531.6804,3163382920.1102,NA,NA,NA,76787.835241515,694493.49924388,771281.33448539,"United Kingdom"
"356",2016,"GBR",100,100,42156712,21022272,21134373,65611593,64.2519261230786,54382825,NA,NA,78695.91249783,16257,35842.0811455429,42499.7764379187,NA,NA,119.0555562,94.77580063,38.42293963,4357.93303,1.68211,5.77679598481933,82.886,84.5599975585938,NA,"GBR2016",3123755,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1860,189115,28.348648690789,142846,48.452890101577,13511090487.239,8561410428.6238,0.90580612474499,NA,NA,NA,5170841372.573,2504104286.2376,NA,NA,NA,78695.91249783,699864.53629908,778560.44879691,"United Kingdom"
"357",2017,"GBR",100,100,42326458,21112356,21214013,66058859,64.0738555899797,54923317,NA,NA,80260.893253627,16294,36564.2644529674,43010.7063455549,NA,NA,118.5404012,90.42455049,39.02955486,4341.15124,1.69829,NA,83.143,84.629997253418,122.46164,"GBR2017",2910405,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1856,178321,28.096155884255,136063,47.720679345009,13055149509.244,9082089705.5467,0.93628218241638,NA,NA,NA,5182068020.9998,2015908468.3862,NA,NA,NA,80260.893253627,707821.5871089,788082.48036253,"United Kingdom"
"358",2018,"GBR",100,100,42485474,21197311,21288097,66460344,63.926052256896,55426598,NA,NA,80526.378370105,16295,36541.1623527084,43324.0497776422,NA,NA,118.3646213,90.69200899,39.5970259,4603.31022,1.72412,NA,83.398,84.8899993896484,118.56526,"GBR2018",2742472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1837,167261,27.640543058278,128207,46.66578788324,13711295207.957,8697004972.8752,0.92462934360053,NA,NA,NA,6456985759.4937,2356420660.0362,NA,NA,NA,80526.378370105,707980.37881486,788506.75718496,"United Kingdom"
